ID,Severity,Start_Time,County,State
A-1,3,2016-02-08 00:37:08,Franklin,OH
A-2,2,2016-02-08 05:56:20,Montgomery,OH
A-3,2,2016-02-08 06:15:39,Hamilton,OH
A-4,2,2016-02-08 06:51:45,Summit,OH
A-5,3,2016-02-08 07:53:43,Hamilton,OH
A-6,2,2016-02-08 08:16:57,Clermont,OH
A-7,2,2016-02-08 08:15:41,Montgomery,OH
A-8,2,2016-02-08 11:51:46,Cuyahoga,OH
A-9,2,2016-02-08 14:19:57,Allen,OH
A-10,2,2016-02-08 15:16:43,Franklin,OH
A-11,2,2016-02-08 15:43:50,Hamilton,OH
A-12,2,2016-02-08 16:50:57,Hamilton,OH
A-13,2,2016-02-08 17:27:39,Cuyahoga,OH
A-14,2,2016-02-08 17:30:18,Greene,OH
A-15,3,2016-02-08 18:11:11,Guernsey,OH
A-16,3,2016-02-08 18:11:11,Harrison,OH
A-17,3,2016-02-08 19:47:42,Franklin,OH
A-18,2,2016-02-08 19:47:42,Franklin,OH
A-19,3,2016-02-08 20:13:22,Franklin,OH
A-20,4,2016-02-08 21:00:17,Lucas,OH
A-21,2,2016-02-08 21:10:10,Allen,IN
A-22,3,2016-02-08 21:30:31,Kenton,KY
A-23,2,2016-02-09 05:54:01,Franklin,OH
A-24,2,2016-02-09 06:10:59,Montgomery,OH
A-25,2,2016-02-09 06:46:32,Hamilton,OH
A-26,2,2016-02-09 07:18:10,Bartholomew,IN
A-27,4,2016-02-09 07:28:15,Greene,OH
A-28,2,2016-02-09 07:25:40,Franklin,OH
A-29,3,2016-02-09 07:44:49,Shelby,IN
A-30,3,2016-02-09 07:48:40,Decatur,IN
A-31,3,2016-02-09 07:48:40,Decatur,IN
A-32,2,2016-02-09 08:00:16,Montgomery,OH
A-33,3,2016-02-09 08:02:55,Wood,WV
A-34,2,2016-02-09 08:18:58,Marion,IN
A-35,2,2016-02-09 09:07:19,Monroe,MI
A-36,3,2016-02-09 10:07:49,Clark,IN
A-37,2,2016-02-09 11:09:49,Monroe,MI
A-38,2,2016-02-09 11:28:49,Allegheny,PA
A-39,2,2016-02-09 12:31:08,Allegheny,PA
A-40,4,2016-02-09 15:33:59,Delaware,OH
